text,category
Sensitive file sent to wrong person. Sensitive file sent to wrong person. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Security
Email signature disappeared. Email signature disappeared. The issue happens every few minutes. Please help me troubleshoot the problem.,Email
Excel freezes when opening file. Excel freezes when opening file. The issue happens every few minutes. Please help me troubleshoot the problem.,Software
Network printer is offline. Network printer is offline. The problem began after an update. Please help me troubleshoot the problem.,Network
Docking station stopped working. Docking station stopped working. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Hardware
Request to install approved software. Request to install approved software. The problem began after an update. Please help me troubleshoot the problem.,Other
Application update is stuck. Application update is stuck. This has happened several times today. Please help me troubleshoot the problem.,Software
Authenticator app lost after phone change. Authenticator app lost after phone change. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Account
Cannot access work account. Cannot access work account. The issue happens every few minutes. Please help me troubleshoot the problem.,Account
Webcam is not detected. Webcam is not detected. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Hardware
Need help with conference room equipment. Need help with conference room equipment. The issue happens every few minutes. Please help me troubleshoot the problem.,Other
Messages go to junk incorrectly. Messages go to junk incorrectly. This is stopping me from completing my work. Please help me troubleshoot the problem.,Email
No network access after restart. No network access after restart. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Network
Software licence is not recognised. Software licence is not recognised. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Software
Account shows unknown login. Account shows unknown login. The problem began after an update. Please help me troubleshoot the problem.,Security
Headset microphone is not detected. Headset microphone is not detected. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Hardware
Laptop may have malware. Laptop may have malware. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Security
Authenticator app lost after phone change. Authenticator app lost after phone change. The issue happens every few minutes. Please help me troubleshoot the problem.,Account
USB drive may contain malware. USB drive may contain malware. The issue happens every few minutes. Please help me troubleshoot the problem.,Security
Browser closes unexpectedly. Browser closes unexpectedly. I have already restarted the computer once. Please help me troubleshoot the problem.,Software
Cannot reach internal website. Cannot reach internal website. I have tried signing out and back in. Please help me troubleshoot the problem.,Network
Request for new user setup. Request for new user setup. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Other
Network drops during video calls. Network drops during video calls. I am working from home and need this resolved. Please help me troubleshoot the problem.,Network
Ethernet connection is down. Ethernet connection is down. This has happened several times today. Please help me troubleshoot the problem.,Network
Email attachment will not download. Email attachment will not download. The problem began after an update. Please help me troubleshoot the problem.,Email
Account says too many attempts. Account says too many attempts. This is stopping me from completing my work. Please help me troubleshoot the problem.,Account
Docking station stopped working. Docking station stopped working. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Hardware
Cannot access work account. Cannot access work account. The issue happens every few minutes. Please help me troubleshoot the problem.,Account
Keyboard keys are not working. Keyboard keys are not working. The issue happens every few minutes. Please help me troubleshoot the problem.,Hardware
Request for new user setup. Request for new user setup. The issue happens every few minutes. Please help me troubleshoot the problem.,Other
Program shows missing DLL error. Program shows missing DLL error. The issue happens every few minutes. Please help me troubleshoot the problem.,Software
Ransomware message appeared. Ransomware message appeared. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Security
Need access restored to my account. Need access restored to my account. I have tried signing out and back in. Please help me troubleshoot the problem.,Account
Need help setting up a new desk. Need help setting up a new desk. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Other
Laptop may have malware. Laptop may have malware. The issue happens every few minutes. Please help me troubleshoot the problem.,Security
Not receiving new emails. Not receiving new emails. I have already restarted the computer once. Please help me troubleshoot the problem.,Email
Application update is stuck. Application update is stuck. This has happened several times today. Please help me troubleshoot the problem.,Software
Need help with conference room equipment. Need help with conference room equipment. The issue happens every few minutes. Please help me troubleshoot the problem.,Other
Cannot obtain an IP address. Cannot obtain an IP address. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Network
DNS lookup keeps failing. DNS lookup keeps failing. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Network
Sign-in keeps looping. Sign-in keeps looping. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Account
User account is disabled. User account is disabled. This has happened several times today. Please help me troubleshoot the problem.,Account
Software installation fails. Software installation fails. This has happened several times today. Please help me troubleshoot the problem.,Software
Screen flickers randomly. Screen flickers randomly. I have already restarted the computer once. Please help me troubleshoot the problem.,Hardware
Messages go to junk incorrectly. Messages go to junk incorrectly. I am working from home and need this resolved. Please help me troubleshoot the problem.,Email
Need help setting up a new desk. Need help setting up a new desk. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Other
Messages go to junk incorrectly. Messages go to junk incorrectly. This is stopping me from completing my work. Please help me troubleshoot the problem.,Email
Cannot obtain an IP address. Cannot obtain an IP address. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Network
USB device is not recognised. USB device is not recognised. This has happened several times today. Please help me troubleshoot the problem.,Hardware
Account says too many attempts. Account says too many attempts. This is stopping me from completing my work. Please help me troubleshoot the problem.,Account
Cannot sign in after password reset. Cannot sign in after password reset. I have tried signing out and back in. Please help me troubleshoot the problem.,Account
Application crashes on launch. Application crashes on launch. This is stopping me from completing my work. Please help me troubleshoot the problem.,Software
Laptop will not turn on. Laptop will not turn on. I have tried signing out and back in. Please help me troubleshoot the problem.,Hardware
Update caused application errors. Update caused application errors. The problem began after an update. Please help me troubleshoot the problem.,Software
Application crashes on launch. Application crashes on launch. I am working from home and need this resolved. Please help me troubleshoot the problem.,Software
Browser closes unexpectedly. Browser closes unexpectedly. I have tried signing out and back in. Please help me troubleshoot the problem.,Software
Application is extremely slow. Application is extremely slow. This is stopping me from completing my work. Please help me troubleshoot the problem.,Software
Account says too many attempts. Account says too many attempts. I am working from home and need this resolved. Please help me troubleshoot the problem.,Account
Printer queue needs configuration. Printer queue needs configuration. This is stopping me from completing my work. Please help me troubleshoot the problem.,Other
Excel freezes when opening file. Excel freezes when opening file. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Software
Shared mailbox is missing. Shared mailbox is missing. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Email
Laptop will not turn on. Laptop will not turn on. I have already restarted the computer once. Please help me troubleshoot the problem.,Hardware
Sensitive file sent to wrong person. Sensitive file sent to wrong person. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Security
Cannot open encrypted email. Cannot open encrypted email. The problem began after an update. Please help me troubleshoot the problem.,Email
Ransomware message appeared. Ransomware message appeared. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Security
Suspicious email received. Suspicious email received. I have already restarted the computer once. Please help me troubleshoot the problem.,Security
Messages go to junk incorrectly. Messages go to junk incorrectly. I am working from home and need this resolved. Please help me troubleshoot the problem.,Email
Network drops during video calls. Network drops during video calls. This is stopping me from completing my work. Please help me troubleshoot the problem.,Network
Request for equipment setup. Request for equipment setup. I am working from home and need this resolved. Please help me troubleshoot the problem.,Other
Laptop says connected but no internet. Laptop says connected but no internet. The problem began after an update. Please help me troubleshoot the problem.,Network
Computer makes a clicking noise. Computer makes a clicking noise. I am working from home and need this resolved. Please help me troubleshoot the problem.,Hardware
Cannot send email. Cannot send email. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Email
Teams keeps crashing. Teams keeps crashing. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Software
Outlook search is not working. Outlook search is not working. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Email
Program cannot save files. Program cannot save files. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Software
Cannot connect to office Wi-Fi. Cannot connect to office Wi-Fi. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Network
Excel freezes when opening file. Excel freezes when opening file. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Software
Network drops during video calls. Network drops during video calls. This is stopping me from completing my work. Please help me troubleshoot the problem.,Network
Login says credentials are invalid. Login says credentials are invalid. I have already restarted the computer once. Please help me troubleshoot the problem.,Account
How do I map a network drive. How do I map a network drive. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Other
Account is locked. Account is locked. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Account
Outlook search is not working. Outlook search is not working. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Email
Shared mailbox is missing. Shared mailbox is missing. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Email
Calendar invites are not arriving. Calendar invites are not arriving. I have already restarted the computer once. Please help me troubleshoot the problem.,Email
Multi-factor authentication code is not working. Multi-factor authentication code is not working. I am working from home and need this resolved. Please help me troubleshoot the problem.,Account
Network drops during video calls. Network drops during video calls. This is stopping me from completing my work. Please help me troubleshoot the problem.,Network
Possible phishing link clicked. Possible phishing link clicked. This is stopping me from completing my work. Please help me troubleshoot the problem.,Security
Program cannot save files. Program cannot save files. The issue happens every few minutes. Please help me troubleshoot the problem.,Software
External monitor is not detected. External monitor is not detected. The problem began after an update. Please help me troubleshoot the problem.,Hardware
Internet is very slow. Internet is very slow. I have already restarted the computer once. Please help me troubleshoot the problem.,Network
Username is not recognised. Username is not recognised. This has happened several times today. Please help me troubleshoot the problem.,Account
Application is extremely slow. Application is extremely slow. I am working from home and need this resolved. Please help me troubleshoot the problem.,Software
Printer queue needs configuration. Printer queue needs configuration. I am working from home and need this resolved. Please help me troubleshoot the problem.,Other
Computer makes a clicking noise. Computer makes a clicking noise. I am working from home and need this resolved. Please help me troubleshoot the problem.,Hardware
Password reset link expired. Password reset link expired. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Account
How do I request software access. How do I request software access. I have already restarted the computer once. Please help me troubleshoot the problem.,Other
Software licence is not recognised. Software licence is not recognised. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Software
Username is not recognised. Username is not recognised. The problem began after an update. Please help me troubleshoot the problem.,Account
Application crashes on launch. Application crashes on launch. This is stopping me from completing my work. Please help me troubleshoot the problem.,Software
Request for new user setup. Request for new user setup. The issue happens every few minutes. Please help me troubleshoot the problem.,Other
DNS lookup keeps failing. DNS lookup keeps failing. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Network
Software licence is not recognised. Software licence is not recognised. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Software
Keyboard keys are not working. Keyboard keys are not working. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Hardware
Unexpected sign-in alert. Unexpected sign-in alert. This has happened several times today. Please help me troubleshoot the problem.,Security
Application window is blank. Application window is blank. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Software
Cannot add email account to phone. Cannot add email account to phone. The problem began after an update. Please help me troubleshoot the problem.,Email
Security warning keeps appearing. Security warning keeps appearing. This is stopping me from completing my work. Please help me troubleshoot the problem.,Security
Browser closes unexpectedly. Browser closes unexpectedly. I have already restarted the computer once. Please help me troubleshoot the problem.,Software
Request for equipment setup. Request for equipment setup. This is stopping me from completing my work. Please help me troubleshoot the problem.,Other
Login says credentials are invalid. Login says credentials are invalid. I have tried signing out and back in. Please help me troubleshoot the problem.,Account
Antivirus detected a threat. Antivirus detected a threat. This has happened several times today. Please help me troubleshoot the problem.,Security
Cannot send email. Cannot send email. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Email
Internet is very slow. Internet is very slow. I have tried signing out and back in. Please help me troubleshoot the problem.,Network
Need help connecting meeting room display. Need help connecting meeting room display. This has happened several times today. Please help me troubleshoot the problem.,Other
No network access after restart. No network access after restart. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Network
Laptop will not turn on. Laptop will not turn on. I have tried signing out and back in. Please help me troubleshoot the problem.,Hardware
Program shows missing DLL error. Program shows missing DLL error. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Software
Automatic replies are not working. Automatic replies are not working. I have tried signing out and back in. Please help me troubleshoot the problem.,Email
Suspicious email received. Suspicious email received. I have tried signing out and back in. Please help me troubleshoot the problem.,Security
Email attachment will not download. Email attachment will not download. This has happened several times today. Please help me troubleshoot the problem.,Email
Antivirus detected a threat. Antivirus detected a threat. This has happened several times today. Please help me troubleshoot the problem.,Security
Software licence is not recognised. Software licence is not recognised. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Software
Cannot add email account to phone. Cannot add email account to phone. The problem began after an update. Please help me troubleshoot the problem.,Email
Cannot send email. Cannot send email. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Email
Cannot add email account to phone. Cannot add email account to phone. This has happened several times today. Please help me troubleshoot the problem.,Email
Application window is blank. Application window is blank. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Software
Need assistance moving files. Need assistance moving files. I have tried signing out and back in. Please help me troubleshoot the problem.,Other
Data may have been exposed. Data may have been exposed. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Security
Network printer is offline. Network printer is offline. This has happened several times today. Please help me troubleshoot the problem.,Network
Wireless signal is weak. Wireless signal is weak. The issue happens every few minutes. Please help me troubleshoot the problem.,Network
Laptop is overheating. Laptop is overheating. I have already restarted the computer once. Please help me troubleshoot the problem.,Hardware
Forgot my password. Forgot my password. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Account
Laptop says connected but no internet. Laptop says connected but no internet. The problem began after an update. Please help me troubleshoot the problem.,Network
Excel freezes when opening file. Excel freezes when opening file. The issue happens every few minutes. Please help me troubleshoot the problem.,Software
Account shows unknown login. Account shows unknown login. The problem began after an update. Please help me troubleshoot the problem.,Security
Sensitive file sent to wrong person. Sensitive file sent to wrong person. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Security
Laptop may have malware. Laptop may have malware. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Security
Unknown MFA prompt received. Unknown MFA prompt received. The issue happens every few minutes. Please help me troubleshoot the problem.,Security
Possible phishing link clicked. Possible phishing link clicked. This is stopping me from completing my work. Please help me troubleshoot the problem.,Security
Cannot reach internal website. Cannot reach internal website. I have tried signing out and back in. Please help me troubleshoot the problem.,Network
Headset microphone is not detected. Headset microphone is not detected. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Hardware
Need help with conference room equipment. Need help with conference room equipment. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Other
Computer shuts down unexpectedly. Computer shuts down unexpectedly. This has happened several times today. Please help me troubleshoot the problem.,Hardware
Browser closes unexpectedly. Browser closes unexpectedly. I have tried signing out and back in. Please help me troubleshoot the problem.,Software
New employee account is not active. New employee account is not active. This is stopping me from completing my work. Please help me troubleshoot the problem.,Account
Login says credentials are invalid. Login says credentials are invalid. I have tried signing out and back in. Please help me troubleshoot the problem.,Account
Email signature disappeared. Email signature disappeared. The issue happens every few minutes. Please help me troubleshoot the problem.,Email
Cannot open encrypted email. Cannot open encrypted email. The problem began after an update. Please help me troubleshoot the problem.,Email
Cannot change my password. Cannot change my password. The problem began after an update. Please help me troubleshoot the problem.,Account
Need help setting default browser. Need help setting default browser. I am working from home and need this resolved. Please help me troubleshoot the problem.,Other
Remote desktop cannot reach server. Remote desktop cannot reach server. I have already restarted the computer once. Please help me troubleshoot the problem.,Network
Possible phishing link clicked. Possible phishing link clicked. I am working from home and need this resolved. Please help me troubleshoot the problem.,Security
Application update is stuck. Application update is stuck. The problem began after an update. Please help me troubleshoot the problem.,Software
How do I map a network drive. How do I map a network drive. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Other
Password reset link expired. Password reset link expired. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Account
Login says credentials are invalid. Login says credentials are invalid. I have tried signing out and back in. Please help me troubleshoot the problem.,Account
Browser redirects to strange websites. Browser redirects to strange websites. I have already restarted the computer once. Please help me troubleshoot the problem.,Security
Need help setting default browser. Need help setting default browser. I am working from home and need this resolved. Please help me troubleshoot the problem.,Other
Security warning keeps appearing. Security warning keeps appearing. I am working from home and need this resolved. Please help me troubleshoot the problem.,Security
Need instructions for remote working. Need instructions for remote working. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Other
Second monitor has no signal. Second monitor has no signal. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Hardware
Ethernet connection is down. Ethernet connection is down. The problem began after an update. Please help me troubleshoot the problem.,Network
Cannot sign in after password reset. Cannot sign in after password reset. I have already restarted the computer once. Please help me troubleshoot the problem.,Account
Keyboard keys are not working. Keyboard keys are not working. The issue happens every few minutes. Please help me troubleshoot the problem.,Hardware
Sign-in keeps looping. Sign-in keeps looping. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Account
Mailbox is full. Mailbox is full. This is stopping me from completing my work. Please help me troubleshoot the problem.,Email
Multi-factor authentication code is not working. Multi-factor authentication code is not working. This is stopping me from completing my work. Please help me troubleshoot the problem.,Account
Cannot add email account to phone. Cannot add email account to phone. This has happened several times today. Please help me troubleshoot the problem.,Email
Need help connecting meeting room display. Need help connecting meeting room display. The problem began after an update. Please help me troubleshoot the problem.,Other
Ransomware message appeared. Ransomware message appeared. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Security
Data may have been exposed. Data may have been exposed. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Security
How do I request software access. How do I request software access. I have already restarted the computer once. Please help me troubleshoot the problem.,Other
Need instructions for remote working. Need instructions for remote working. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Other
Remote desktop cannot reach server. Remote desktop cannot reach server. I have tried signing out and back in. Please help me troubleshoot the problem.,Network
Email folders are missing. Email folders are missing. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Email
Battery is not charging. Battery is not charging. I am working from home and need this resolved. Please help me troubleshoot the problem.,Hardware
Ransomware message appeared. Ransomware message appeared. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Security
Keyboard keys are not working. Keyboard keys are not working. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Hardware
How do I connect to shared folder. How do I connect to shared folder. I have tried signing out and back in. Please help me troubleshoot the problem.,Other
Wireless signal is weak. Wireless signal is weak. The issue happens every few minutes. Please help me troubleshoot the problem.,Network
Need instructions for remote working. Need instructions for remote working. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Other
Update caused application errors. Update caused application errors. This has happened several times today. Please help me troubleshoot the problem.,Software
Need instructions for remote working. Need instructions for remote working. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Other
Need help setting up a new desk. Need help setting up a new desk. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Other
Password may be compromised. Password may be compromised. This is stopping me from completing my work. Please help me troubleshoot the problem.,Security
Sign-in keeps looping. Sign-in keeps looping. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Account
Account shows unknown login. Account shows unknown login. This has happened several times today. Please help me troubleshoot the problem.,Security
Laptop is overheating. Laptop is overheating. I have already restarted the computer once. Please help me troubleshoot the problem.,Hardware
New employee account is not active. New employee account is not active. This is stopping me from completing my work. Please help me troubleshoot the problem.,Account
Laptop is overheating. Laptop is overheating. I have tried signing out and back in. Please help me troubleshoot the problem.,Hardware
Need help setting default browser. Need help setting default browser. This is stopping me from completing my work. Please help me troubleshoot the problem.,Other
Program cannot save files. Program cannot save files. The issue happens every few minutes. Please help me troubleshoot the problem.,Software
New employee account is not active. New employee account is not active. I am working from home and need this resolved. Please help me troubleshoot the problem.,Account
Not receiving new emails. Not receiving new emails. I have tried signing out and back in. Please help me troubleshoot the problem.,Email
VPN will not connect. VPN will not connect. This is stopping me from completing my work. Please help me troubleshoot the problem.,Network
Mouse keeps disconnecting. Mouse keeps disconnecting. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Hardware
PDF application will not start. PDF application will not start. I am working from home and need this resolved. Please help me troubleshoot the problem.,Software
Forgot my password. Forgot my password. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Account
Outlook will not open. Outlook will not open. I have tried signing out and back in. Please help me troubleshoot the problem.,Software
Internet is very slow. Internet is very slow. I have already restarted the computer once. Please help me troubleshoot the problem.,Network
Computer makes a clicking noise. Computer makes a clicking noise. This is stopping me from completing my work. Please help me troubleshoot the problem.,Hardware
Application update is stuck. Application update is stuck. This has happened several times today. Please help me troubleshoot the problem.,Software
PDF application will not start. PDF application will not start. I am working from home and need this resolved. Please help me troubleshoot the problem.,Software
Forgot my password. Forgot my password. The issue happens every few minutes. Please help me troubleshoot the problem.,Account
Shared mailbox is missing. Shared mailbox is missing. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Email
Mailbox is full. Mailbox is full. I am working from home and need this resolved. Please help me troubleshoot the problem.,Email
Laptop may have malware. Laptop may have malware. The issue happens every few minutes. Please help me troubleshoot the problem.,Security
Possible phishing link clicked. Possible phishing link clicked. This is stopping me from completing my work. Please help me troubleshoot the problem.,Security
How do I connect to shared folder. How do I connect to shared folder. I have tried signing out and back in. Please help me troubleshoot the problem.,Other
Docking station stopped working. Docking station stopped working. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Hardware
Application crashes on launch. Application crashes on launch. This is stopping me from completing my work. Please help me troubleshoot the problem.,Software
Password may be compromised. Password may be compromised. I am working from home and need this resolved. Please help me troubleshoot the problem.,Security
Wi-Fi keeps disconnecting. Wi-Fi keeps disconnecting. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Network
Battery is not charging. Battery is not charging. This is stopping me from completing my work. Please help me troubleshoot the problem.,Hardware
VPN will not connect. VPN will not connect. This is stopping me from completing my work. Please help me troubleshoot the problem.,Network
Application window is blank. Application window is blank. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Software
Antivirus detected a threat. Antivirus detected a threat. The problem began after an update. Please help me troubleshoot the problem.,Security
Ethernet connection is down. Ethernet connection is down. This has happened several times today. Please help me troubleshoot the problem.,Network
New employee account is not active. New employee account is not active. I am working from home and need this resolved. Please help me troubleshoot the problem.,Account
Wi-Fi keeps disconnecting. Wi-Fi keeps disconnecting. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Network
Security warning keeps appearing. Security warning keeps appearing. This is stopping me from completing my work. Please help me troubleshoot the problem.,Security
How do I request software access. How do I request software access. I have tried signing out and back in. Please help me troubleshoot the problem.,Other
General IT help request. General IT help request. The issue happens every few minutes. Please help me troubleshoot the problem.,Other
Password may be compromised. Password may be compromised. I am working from home and need this resolved. Please help me troubleshoot the problem.,Security
Wireless signal is weak. Wireless signal is weak. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Network
Excel freezes when opening file. Excel freezes when opening file. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Software
Email signature disappeared. Email signature disappeared. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Email
Laptop will not turn on. Laptop will not turn on. I have already restarted the computer once. Please help me troubleshoot the problem.,Hardware
Lost company laptop. Lost company laptop. I have already restarted the computer once. Please help me troubleshoot the problem.,Security
Cannot connect to office Wi-Fi. Cannot connect to office Wi-Fi. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Network
Password reset link expired. Password reset link expired. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Account
Cannot change my password. Cannot change my password. This has happened several times today. Please help me troubleshoot the problem.,Account
Username is not recognised. Username is not recognised. This has happened several times today. Please help me troubleshoot the problem.,Account
Automatic replies are not working. Automatic replies are not working. I have already restarted the computer once. Please help me troubleshoot the problem.,Email
Cannot add email account to phone. Cannot add email account to phone. This has happened several times today. Please help me troubleshoot the problem.,Email
Teams keeps crashing. Teams keeps crashing. It worked yesterday but is failing today. Please help me troubleshoot the problem.,Software
External monitor is not detected. External monitor is not detected. The problem began after an update. Please help me troubleshoot the problem.,Hardware
Email signature disappeared. Email signature disappeared. The issue affects only my device as far as I know. Please help me troubleshoot the problem.,Email
Data may have been exposed. Data may have been exposed. It started this morning and restarting did not fix it. Please help me troubleshoot the problem.,Security
Automatic replies are not working. Automatic replies are not working. I have already restarted the computer once. Please help me troubleshoot the problem.,Email
Lost company laptop. Lost company laptop. I have already restarted the computer once. Please help me troubleshoot the problem.,Security
